activity_key,display_name,group,scope,ghg_category,category_name,default_unit,allowed_units,gases,factor_source,notes
elec.selfgen_solar_onsite,Self-generated solar consumed on site,Memo — energy balance,memo,memo,Energy balance memo,kWh,kWh|MWh,none,n/a,NOT Scope 2. Scope 2 Guidance 5.4: energy produced and consumed by the same entity generates no Scope 2. Record for energy balance only.
elec.selfgen_wind_onsite,Self-generated wind consumed on site,Memo — energy balance,memo,memo,Energy balance memo,kWh,kWh|MWh,none,n/a,NOT Scope 2. Record for energy balance only.
elec.exported,Electricity exported to grid,Memo — energy balance,memo,memo,Energy balance memo,kWh,kWh|MWh,none,n/a,Scope 2 Guidance 5.4 scenario 4: exclude generation sold back to the grid. Never subtracted from any total.
steam.purchased,Purchased steam,Other purchased energy,2,2.2,"Purchased steam, heat and cooling",t,kg|t|GJ|MMBtu,"CO2,CH4,N2O",Supplier factor / DESNZ default,
heat.purchased,Purchased heat / hot water,Other purchased energy,2,2.2,"Purchased steam, heat and cooling",GJ,GJ|MMBtu|kWh,"CO2,CH4,N2O",Supplier factor / DESNZ default,
cooling.chilled_water,Purchased chilled water / district cooling,Other purchased energy,2,2.2,"Purchased steam, heat and cooling",GJ,GJ|kWh|TR-hr,"CO2,CH4,N2O",Supplier factor,
compressed_air.purchased,Purchased compressed air,Other purchased energy,2,2.2,"Purchased steam, heat and cooling",m3,m3|kWh,"CO2,CH4,N2O",Supplier factor,Rare; usually metered as electricity instead
cat1.material.steel,"Steel (crude, rebar, HR/CR coil)",Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.cement,Cement,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.aluminium,Aluminium (primary / secondary),Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Primary is ~10x secondary — must be distinguished
cat1.material.copper,Copper,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.plastic_pp,Plastic — polypropylene,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.plastic_pe,Plastic — polyethylene,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.plastic_pvc,Plastic — PVC,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.plastic_pet,Plastic — PET,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.paper,Paper / cardboard,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.glass,Glass,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.timber,Timber / wood products,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t|m3,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.chemicals_generic,Chemicals — generic,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.textiles,Textiles,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.food_generic,Food & catering,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.packaging,Packaging materials,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,t,kg|t,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.water_supply,Water supply,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,m3,m3|kL,CO2e,ecoinvent / EXIOBASE / DESNZ,Treatment of the same water is Category 5
cat1.material.it_services,IT / cloud services,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,INR,INR|USD,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.material.professional_services,Professional services,Cat 1 — Purchased goods,3,3.1,Purchased goods and services,INR,INR|USD,CO2e,ecoinvent / EXIOBASE / DESNZ,Average-data method; prefer supplier-specific where available
cat1.spend_based,Purchased goods — spend-based (by category),Cat 1 — Purchased goods,3,3.1,Purchased goods and services,INR,INR|USD|EUR,CO2e,EXIOBASE / USEEIO,Must deflate to the factor's base year and convert currency at a dated rate — skipping this is wrong by tens of percent
cat2.machinery,Machinery & equipment,Cat 2 — Capital goods,3,3.2,Capital goods,INR,INR|USD|kg|t,CO2e,EXIOBASE / EEIO,
cat2.buildings,Buildings & construction,Cat 2 — Capital goods,3,3.2,Capital goods,INR,INR|USD|m2,CO2e,EEIO / ecoinvent,
cat2.vehicles,Vehicles purchased,Cat 2 — Capital goods,3,3.2,Capital goods,INR,INR|USD|unit,CO2e,EEIO,
cat2.it_hardware,IT hardware,Cat 2 — Capital goods,3,3.2,Capital goods,INR,INR|USD|unit,CO2e,EEIO / manufacturer LCA,
cat2.spend_based,Capital goods — spend-based,Cat 2 — Capital goods,3,3.2,Capital goods,INR,INR|USD,CO2e,EXIOBASE / USEEIO,
cat3.wtt_fuels,Well-to-tank of all Scope 1 fuels,Cat 3 — Fuel & energy related,3,3.3,Fuel- and energy-related activities,auto,auto,CO2e,DESNZ,AUTO-DERIVED from Scope 1 entries. Zero extra user input — compute it and show it appearing.
cat3.wtt_electricity,Well-to-tank of purchased electricity,Cat 3 — Fuel & energy related,3,3.3,Fuel- and energy-related activities,auto,auto,CO2e,DESNZ,AUTO-DERIVED from Scope 2
cat3.td_losses,Transmission & distribution losses,Cat 3 — Fuel & energy related,3,3.3,Fuel- and energy-related activities,auto,auto,CO2e,CEA / DESNZ,AUTO-DERIVED. India T&D losses are high (~17-20%) — materially larger than EU/US
cat3.wtt_td_losses,Well-to-tank of T&D losses,Cat 3 — Fuel & energy related,3,3.3,Fuel- and energy-related activities,auto,auto,CO2e,DESNZ,AUTO-DERIVED
cat3.generation_sold_to_end_users,Generation of purchased electricity sold on to end users,Cat 3 — Fuel & energy related,3,3.3,Fuel- and energy-related activities,kWh,kWh|MWh,CO2e,CEA / grid,"The Scope 3 Standard's fourth Cat 3 sub-activity. Applies to utilities, traders and resellers only."
cat4.road_hgv,Road freight — HGV by size/load,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,t.km,t.km|km,CO2e,DESNZ,Third-party or hired trucks. Own trucks are Scope 1.2.
cat4.road_lcv,Road freight — LCV / van,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,t.km,t.km|km,CO2e,DESNZ,
cat4.rail,Rail freight,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,t.km,t.km,CO2e,DESNZ,
cat4.sea_container,Sea freight — container,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,t.km,t.km,CO2e,DESNZ,
cat4.sea_bulk,Sea freight — bulk carrier,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,t.km,t.km,CO2e,DESNZ,
cat4.air_freight,Air freight,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,t.km,t.km,CO2e,DESNZ,Roughly 50-100x sea per t.km — usually a hotspot
cat4.courier,Courier / parcel,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,t.km,t.km|parcel,CO2e,DESNZ,
cat4.pipeline,Pipeline transport,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,t.km,t.km,CO2e,DESNZ,
cat4.cold_chain,Refrigerated transport,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,t.km,t.km,CO2e,DESNZ,Add refrigerant leakage separately
cat4.warehousing_3pl,Third-party warehousing,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,m2.yr,m2.yr|INR,CO2e,DESNZ,
cat4.spend_based,Upstream transport — spend-based,Cat 4 — Upstream transport,3,3.4,Upstream transportation and distribution,INR,INR|USD,CO2e,DESNZ,
cat5.landfill_mixed,Landfill — mixed municipal waste,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.landfill_organic,Landfill — organic waste,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,Highest CH4 of any waste route
cat5.incineration,Incineration — no energy recovery,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.incineration_energy,Incineration with energy recovery,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.composting,Composting,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.anaerobic_digestion,Anaerobic digestion,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.recycling_metal,Recycling — metal,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.recycling_plastic,Recycling — plastic,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.recycling_paper,Recycling — paper,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.recycling_glass,Recycling — glass,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.hazardous,Hazardous waste treatment,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.ewaste,E-waste,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.construction_debris,Construction & demolition waste,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.sewage_sludge,Sewage sludge,Cat 5 — Waste,3,3.5,Waste generated in operations,t,kg|t,CO2e,DESNZ,
cat5.wastewater_treated,Wastewater sent for off-site treatment,Cat 5 — Waste,3,3.5,Waste generated in operations,m3,m3|kL,CO2e,DESNZ,On-site anaerobic treatment is Scope 1.4 fugitive instead
cat6.air_domestic_economy,"Air — domestic, economy",Cat 6 — Business travel,3,3.6,Business travel,km,km|mi|pax.km,CO2e,DESNZ,A commercial ticket. Company-owned aircraft is Scope 1.2.
cat6.air_short_haul_economy,"Air — short haul, economy",Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,
cat6.air_long_haul_economy,"Air — long haul, economy",Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,
cat6.air_long_haul_premium,"Air — long haul, premium economy",Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,
cat6.air_long_haul_business,"Air — long haul, business",Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,Roughly 2-3x economy per km — cabin class matters
cat6.air_long_haul_first,"Air — long haul, first",Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,
cat6.rail,Rail travel,Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,
cat6.taxi,Taxi / ride-hailing,Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,
cat6.rental_car,Rental car,Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,
cat6.personal_car_reimbursed,"Personal car, reimbursed mileage",Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,"Scope 3, not Scope 1 — the company does not own the vehicle"
cat6.bus_coach,Bus / coach,Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,
cat6.ferry,Ferry,Cat 6 — Business travel,3,3.6,Business travel,km,km|mi,CO2e,DESNZ,
cat6.hotel_nights,Hotel stays,Cat 6 — Business travel,3,3.6,Business travel,night,night,CO2e,DESNZ,Factor varies widely by country
cat6.spend_based,Business travel — spend-based,Cat 6 — Business travel,3,3.6,Business travel,INR,INR|USD,CO2e,DESNZ,
cat6.air_rf_uplift,Air travel — radiative forcing uplift,Cat 6 — Business travel,3,3.6,Business travel,toggle,toggle,CO2e,DESNZ,A user-selectable multiplier (~1.9x). Must be disclosed in the report when applied.
cat7.car_petrol,"Commute — car, petrol",Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.car_diesel,"Commute — car, diesel",Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.car_ev,"Commute — car, electric",Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.two_wheeler,Commute — two-wheeler,Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.bus,Commute — bus,Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.metro_rail,Commute — metro / suburban rail,Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.auto_rickshaw,Commute — auto rickshaw,Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.company_bus,Commute — company-provided bus,Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.walk_cycle,Commute — walk / cycle,Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.carpool,Commute — carpool,Cat 7 — Employee commuting,3,3.7,Employee commuting,km,km|mi,CO2e,DESNZ,Modelled: headcount x mode split x average distance x working days
cat7.wfh,Remote / work-from-home energy,Cat 7 — Employee commuting,3,3.7,Employee commuting,day,day|FTE.yr,CO2e,DESNZ,Homeworking energy factor x days
cat8.leased_upstream,Upstream leased assets,Cat 8-15 — Other,3,3.8,Upstream leased assets,kWh,kWh|L|m2,CO2e,reuse S1/S2 engines,Only if NOT already inside your consolidation boundary — the most common double-count in the whole inventory
cat9.downstream_transport,Downstream transportation & distribution,Cat 8-15 — Other,3,3.9,Downstream transportation,t.km,t.km|km,CO2e,DESNZ,
cat9.warehousing,Downstream warehousing / storage,Cat 8-15 — Other,3,3.9,Downstream transportation,m2.yr,m2.yr|kWh,CO2e,DESNZ,Cat 9 explicitly includes retail and storage
cat9.retail,Retail outlet energy,Cat 8-15 — Other,3,3.9,Downstream transportation,m2.yr,m2.yr|kWh,CO2e,DESNZ,
cat10.processing_sold,Processing of sold intermediate products,Cat 8-15 — Other,3,3.10,Processing of sold products,t,kg|t,CO2e,site-specific,Applies to intermediate goods only — a steel maker whose coil is processed by a customer
cat11.use_energy_direct,Use of sold products — direct energy use,Cat 8-15 — Other,3,3.11,Use of sold products,kWh,kWh|L|m3,CO2e,DESNZ,For energy-using products this usually dwarfs everything else. Needs lifetime x annual use x factor.
cat11.use_indirect,Use of sold products — indirect,Cat 8-15 — Other,3,3.11,Use of sold products,unit,unit,CO2e,product-specific,
cat11.sold_fuels,Use of sold fuels / feedstocks,Cat 8-15 — Other,3,3.11,Use of sold products,t,kg|t|L,CO2e,IPCC 2006 Vol.2,For fuel distributors this is nearly the entire footprint
cat12.landfill,EOL — landfill,Cat 8-15 — Other,3,3.12,End-of-life treatment of sold products,t,kg|t,CO2e,DESNZ,Mass of product sold x material composition x disposal route split
cat12.incineration,EOL — incineration,Cat 8-15 — Other,3,3.12,End-of-life treatment of sold products,t,kg|t,CO2e,DESNZ,Mass of product sold x material composition x disposal route split
cat12.recycling,EOL — recycling,Cat 8-15 — Other,3,3.12,End-of-life treatment of sold products,t,kg|t,CO2e,DESNZ,Mass of product sold x material composition x disposal route split
cat12.reuse,EOL — reuse,Cat 8-15 — Other,3,3.12,End-of-life treatment of sold products,t,kg|t,CO2e,DESNZ,Mass of product sold x material composition x disposal route split
cat13.leased_downstream,Downstream leased assets,Cat 8-15 — Other,3,3.13,Downstream leased assets,kWh,kWh|m2,CO2e,reuse S1/S2 engines,
cat14.franchises,Franchises,Cat 8-15 — Other,3,3.14,Franchises,kWh,kWh|outlet,CO2e,reuse S1/S2 engines,
cat15.investments,Investments (PCAF-style attribution),Cat 8-15 — Other,3,3.15,Investments,INR,INR|USD,CO2e,PCAF,Phase 2. Attribution factor = outstanding amount / investee enterprise value
memo.biogenic_co2,Biogenic CO2 from biomass / biofuel combustion,Memo — outside scopes,memo,memo,Biogenic memo item,t,kg|t,CO2,DESNZ,GHG Protocol requires this be reported SEPARATELY from the scopes. Its CH4 and N2O DO stay in Scope 1.
memo.biogenic_co2_scope3,Biogenic CO2 arising in Scope 3 activities,Memo — outside scopes,memo,memo,Biogenic memo item,t,kg|t,CO2,DESNZ,"GHG Protocol requires biogenic CO2 be reported separately FOR EACH SCOPE in which it arises — biofuel in Cat 4, composting/AD/incineration of biogenic waste in Cat 5, biofuel sold in Cat 11."
memo.montreal_r22,R-22 / HCFC-22 refrigerant,Memo — outside scopes,memo,memo,Montreal Protocol gas,kg,kg|g,HCFC,IPCC AR6,"Montreal Protocol substance — reported separately, NEVER added to the Scope 1 total"
memo.montreal_cfc,"CFCs (R-11, R-12) and halons",Memo — outside scopes,memo,memo,Montreal Protocol gas,kg,kg|g,CFC,IPCC AR6,"Reported separately, outside the scopes"
memo.avoided_exported_renewable,Avoided emissions from exported renewable power,Memo — outside scopes,memo,memo,Avoided emissions memo,kWh,kWh|MWh,CO2e,n/a,Never netted off the inventory total. Memo disclosure only.
memo.offsets_retired,Carbon credits retired,Memo — outside scopes,memo,memo,Offsets memo,tCO2e,tCO2e,CO2e,registry,Reported separately from gross emissions. Gross totals are never reduced by offsets.
