material_key,display_name,family,production_route,route_label,declared_unit,system_boundary,allocation_method_expected,tier_target,primary_source,india_specific_source,status,notes
pcf.auto.wiring_harness.copper,Wiring harness — copper,automobile,copper,Copper harness,kg,cradle_to_gate,subdivision,A,International Copper Association,,TO_INGEST,
pcf.auto.vehicle.ice_petrol_hatchback.ctg,Car — ICE petrol hatchback (cradle-to-gate),automobile,ice_petrol_hatchback,ICE petrol hatchback,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,SIAM,TO_INGEST,EXCLUDES use phase. Never rank against a cradle-to-grave row.
pcf.auto.vehicle.ice_petrol_hatchback.ctgr,Car — ICE petrol hatchback (cradle-to-grave),automobile,ice_petrol_hatchback,ICE petrol hatchback,unit,cradle_to_grave,subdivision,A,Peer-reviewed LCA literature,SIAM,TO_INGEST,Requires duty cycle and lifetime mileage assumption; record both.
pcf.auto.vehicle.ice_diesel_suv.ctg,Car — ICE diesel SUV (cradle-to-gate),automobile,ice_diesel_suv,ICE diesel SUV,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,SIAM,TO_INGEST,
pcf.auto.vehicle.ice_diesel_suv.ctgr,Car — ICE diesel SUV (cradle-to-grave),automobile,ice_diesel_suv,ICE diesel SUV,unit,cradle_to_grave,subdivision,A,Peer-reviewed LCA literature,SIAM,TO_INGEST,
pcf.auto.vehicle.hev.ctg,Car — hybrid (cradle-to-gate),automobile,hev,Hybrid electric,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,,TO_INGEST,
pcf.auto.vehicle.phev.ctg,Car — plug-in hybrid (cradle-to-gate),automobile,phev,Plug-in hybrid,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,,TO_INGEST,
pcf.auto.vehicle.bev_compact.ctg,Car — BEV compact (cradle-to-gate),automobile,bev_compact,Battery electric compact,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature; IEA,,TO_INGEST,Higher than ICE at gate due to battery. Misleading without the grave row.
pcf.auto.vehicle.bev_compact.ctgr,Car — BEV compact (cradle-to-grave),automobile,bev_compact,Battery electric compact,unit,cradle_to_grave,subdivision,A,Peer-reviewed LCA literature; IEA,CEA CO2 Baseline Database,TO_INGEST,Charging grid region is decisive; record it with the value.
pcf.auto.vehicle.two_wheeler_ice.ctg,Two-wheeler — ICE (cradle-to-gate),automobile,two_wheeler_ice,ICE two-wheeler,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,SIAM,TO_INGEST,High-volume Indian segment.
pcf.auto.vehicle.two_wheeler_ev.ctg,Two-wheeler — electric (cradle-to-gate),automobile,two_wheeler_ev,Electric two-wheeler,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,SIAM,TO_INGEST,
pcf.auto.vehicle.three_wheeler_ev.ctg,Three-wheeler — electric (cradle-to-gate),automobile,three_wheeler_ev,Electric three-wheeler,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,SIAM,TO_INGEST,
pcf.auto.vehicle.bus_diesel.ctg,Bus — diesel (cradle-to-gate),automobile,bus_diesel,Diesel bus,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,,TO_INGEST,
pcf.auto.vehicle.bus_electric.ctg,Bus — electric (cradle-to-gate),automobile,bus_electric,Electric bus,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,,TO_INGEST,
pcf.daily.packaging.pet_bottle.virgin,PET bottle — virgin,daily_products,virgin,Virgin PET bottle,unit,cradle_to_gate,subdivision,A,EPD International,,TO_INGEST,Bottle weight must be recorded; unit alone is not comparable.
pcf.daily.packaging.pet_bottle.rpet,PET bottle — rPET,daily_products,rpet,Recycled PET bottle,unit,cradle_to_gate,subdivision,A,EPD International,,TO_INGEST,Recycled content fraction required.
pcf.daily.packaging.aluminium_can,Aluminium beverage can,daily_products,standard,Aluminium can,unit,cradle_to_gate,subdivision,A,International Aluminium Institute; EPD International,,TO_INGEST,Recycled content fraction is decisive.
pcf.daily.packaging.glass_bottle.virgin,Glass bottle — virgin,daily_products,virgin,Virgin glass bottle,unit,cradle_to_gate,subdivision,A,EPD International; FEVE,,TO_INGEST,
pcf.daily.packaging.glass_bottle.recycled,Glass bottle — high cullet,daily_products,recycled,High-cullet glass bottle,unit,cradle_to_gate,subdivision,A,EPD International; FEVE,,TO_INGEST,
pcf.daily.packaging.carton_liquid,Liquid packaging carton,daily_products,standard,Aseptic carton,unit,cradle_to_gate,subdivision,A,EPD International,,TO_INGEST,
pcf.daily.packaging.corrugated_box,Corrugated box,daily_products,standard,Corrugated board box,kg,cradle_to_gate,subdivision,A,EPD International; FEFCO,,TO_INGEST,
pcf.daily.paper.office_virgin,Paper — office (virgin fibre),daily_products,virgin_fibre,Virgin fibre,kg,cradle_to_gate,subdivision,A,EPD International; CEPI,,TO_INGEST,Biogenic carbon reported separately.
pcf.daily.paper.office_recycled,Paper — office (recycled fibre),daily_products,recycled_fibre,Recycled fibre,kg,cradle_to_gate,subdivision,A,EPD International; CEPI,,TO_INGEST,
pcf.daily.paper.tissue,Tissue paper,daily_products,standard,Tissue,kg,cradle_to_gate,subdivision,A,EPD International,,TO_INGEST,
pcf.daily.textile.cotton_conventional,Textile — conventional cotton,daily_products,cotton_conventional,Conventional cotton,kg,cradle_to_gate,economic,A,Peer-reviewed LCA literature; Textile Exchange,,TO_INGEST,Irrigation and region materially change the result.
pcf.daily.textile.cotton_organic,Textile — organic cotton,daily_products,cotton_organic,Organic cotton,kg,cradle_to_gate,economic,A,Textile Exchange,,TO_INGEST,
pcf.daily.textile.polyester_virgin,Textile — virgin polyester,daily_products,polyester_virgin,Virgin polyester,kg,cradle_to_gate,mass,A,Textile Exchange; PlasticsEurope,,TO_INGEST,Inherits PET route.
pcf.daily.textile.polyester_recycled,Textile — recycled polyester,daily_products,polyester_recycled,Recycled polyester,kg,cradle_to_gate,subdivision,A,Textile Exchange,,TO_INGEST,
pcf.daily.textile.viscose,Textile — viscose,daily_products,viscose,Viscose staple fibre,kg,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,,TO_INGEST,
pcf.daily.detergent.powder,Detergent — powder,daily_products,powder,Powder detergent,kg,cradle_to_gate,subdivision,A,EXIOBASE; AISE,,TO_INGEST,
pcf.daily.detergent.liquid,Detergent — liquid,daily_products,liquid,Liquid detergent,kg,cradle_to_gate,subdivision,A,EXIOBASE; AISE,,TO_INGEST,
pcf.daily.surfactant.las,Surfactant — LAS,daily_products,las,Linear alkylbenzene sulphonate,kg,cradle_to_gate,mass,A,Peer-reviewed LCA literature,,TO_INGEST,
pcf.daily.soap.bar,Soap — bar,daily_products,bar,Bar soap,kg,cradle_to_gate,subdivision,A,EXIOBASE,,TO_INGEST,
pcf.daily.food.rice,Food — rice,daily_products,paddy,Paddy rice,kg,cradle_to_gate,economic,A,IPCC 2006 Vol.4 Ch.5; FAO,India GHG Platform,TO_INGEST,CH4 from flooded paddy dominates. Water management regime required.
pcf.daily.food.wheat,Food — wheat,daily_products,standard,Wheat grain,kg,cradle_to_gate,economic,A,IPCC 2006 Vol.4; FAO,India GHG Platform,TO_INGEST,N2O from fertiliser application dominates.
pcf.daily.food.sugar,Food — sugar,daily_products,cane,Cane sugar,kg,cradle_to_gate,economic,A,FAO; peer-reviewed LCA,,TO_INGEST,Bagasse co-product allocation required.
pcf.daily.food.milk,Food — milk,daily_products,dairy,Raw milk,kg,cradle_to_gate,economic,A,IPCC 2006 Vol.4 Ch.10; FAO,India GHG Platform,TO_INGEST,Enteric CH4 dominates. Indian herd profile differs markedly from OECD.
pcf.daily.food.chicken,Food — chicken,daily_products,broiler,Broiler chicken,kg,cradle_to_gate,economic,A,FAO; peer-reviewed LCA,,TO_INGEST,
pcf.daily.food.mutton,Food — mutton/goat,daily_products,small_ruminant,Small ruminant meat,kg,cradle_to_gate,economic,A,IPCC 2006 Vol.4 Ch.10; FAO,,TO_INGEST,Enteric CH4 dominates.
pcf.daily.food.egg,Food — eggs,daily_products,layer,Layer eggs,kg,cradle_to_gate,economic,A,FAO; peer-reviewed LCA,,TO_INGEST,
pcf.daily.food.edible_oil_palm,Food — palm oil,daily_products,palm,Crude palm oil,kg,cradle_to_gate,economic,A,FAO; peer-reviewed LCA,,TO_INGEST,Land use change is decisive and must be stated as included or excluded.
pcf.daily.electronics.smartphone,Electronics — smartphone,daily_products,standard,Smartphone,unit,cradle_to_gate,subdivision,A,Manufacturer product carbon reports,,TO_INGEST,Semiconductor fabrication dominates.
pcf.daily.electronics.laptop,Electronics — laptop,daily_products,standard,Laptop computer,unit,cradle_to_gate,subdivision,A,Manufacturer product carbon reports,,TO_INGEST,
pcf.daily.electronics.led_bulb,Electronics — LED bulb,daily_products,standard,LED lamp,unit,cradle_to_gate,subdivision,A,EPD International,,TO_INGEST,Use phase dominates lifetime; cradle-to-gate alone is misleading.
pcf.daily.footwear.leather,Footwear — leather,daily_products,leather,Leather footwear,unit,cradle_to_gate,economic,A,Peer-reviewed LCA literature,,TO_INGEST,Hide allocation from cattle is contested; record method.
pcf.daily.footwear.synthetic,Footwear — synthetic,daily_products,synthetic,Synthetic footwear,unit,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,,TO_INGEST,
pcf.daily.furniture.wooden_chair,Furniture — wooden chair,daily_products,wood,Wooden chair,unit,cradle_to_gate,subdivision,A,EPD International,,TO_INGEST,Biogenic carbon storage reported separately; never netted.
pcf.class.chemicals_average,Chemicals — class average,chemicals,class_average,Class average — route unknown,kg,cradle_to_gate,unstated,B,EXIOBASE,,TO_INGEST,TIER B fallback only. Must display as route-unknown.
pcf.class.metals_average,Metals — class average,metals,class_average,Class average — route unknown,kg,cradle_to_gate,unstated,B,EXIOBASE,,TO_INGEST,TIER B fallback only.
pcf.class.polymers_average,Polymers — class average,polymers,class_average,Class average — route unknown,kg,cradle_to_gate,unstated,B,EXIOBASE,,TO_INGEST,TIER B fallback only.
pcf.class.construction_average,Construction materials — class average,construction,class_average,Class average — route unknown,kg,cradle_to_gate,unstated,B,EXIOBASE,,TO_INGEST,TIER B fallback only.
pcf.class.automobile_average,Automotive components — class average,automobile,class_average,Class average — route unknown,kg,cradle_to_gate,unstated,B,EXIOBASE,,TO_INGEST,TIER B fallback only.
pcf.class.daily_products_average,Consumer products — class average,daily_products,class_average,Class average — route unknown,kg,cradle_to_gate,unstated,B,EXIOBASE,,TO_INGEST,TIER B fallback only.
pcf.proxy.eeio_spend,Spend-based EEIO proxy,cross_family,eeio_spend,EEIO by spend category,INR,cradle_to_gate,economic,C,EXIOBASE; USEEIO,,TO_INGEST,TIER C screening only. Requires currency conversion and deflation in the audit trail.
